grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
American Council of The Blind Inc.,2018,Aid Association For The Blind Of The District Of Columbia,"Washington, DC","Aid Association For The Blind Of The District Of Columbia   Washington, DC","$35,000",General operations in dc metropolitan area
American Council of The Blind Inc.,2018,Dr Scholl Foundation,"Northbrook, IL","Dr Scholl Foundation   Northbrook, IL","$5,000",The acb braille forum
American Council of The Blind Inc.,2018,Gupta Foundation,"Springfield, VA","Gupta Foundation   Springfield, VA","$1,000",Promote dignity and independence for blind people
American Council of The Blind Inc.,2018,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY",$60,General operating support
American Council of The Blind Inc.,2018,Joseph L Vozza Family Foundation Inc.,"Ponte Vedra, FL","Joseph L Vozza Family Foundation Inc.   Ponte Vedra, FL",$50,Support visually impaired individuals
American Council of The Blind Inc.,2017,Aid Association For The Blind Of The District Of Columbia,"Washington, DC","Aid Association For The Blind Of The District Of Columbia   Washington, DC","$35,000",General operations in dc metropolitan area
American Council of The Blind Inc.,2017,National Industries For The Blind,"Alexandria, VA","National Industries For The Blind   Alexandria, VA","$8,033",Membership dues
American Council of The Blind Inc.,2017,Dr Scholl Foundation,"Northbrook, IL","Dr Scholl Foundation   Northbrook, IL","$5,000",Braille forum program
American Council of The Blind Inc.,2017,Gupta Foundation,"Springfield, VA","Gupta Foundation   Springfield, VA",$650,Promote dignity and independence for blind people
American Council of The Blind Inc.,2017,Joseph L Vozza Family Foundation Inc.,"Ponte Vedra, FL","Joseph L Vozza Family Foundation Inc.   Ponte Vedra, FL",$50,Visually-impaired support
American Council of The Blind Inc.,2017,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY",$25,General operating support
American Council of The Blind Inc.,2016,Aid Association For The Blind Of The District Of Columbia,"Washington, DC","Aid Association For The Blind Of The District Of Columbia   Washington, DC","$25,000",General operations in dc metropolitan area
American Council of The Blind Inc.,2016,Mutual Of America Foundation,"New York, NY","Mutual Of America Foundation   New York, NY","$2,500",Matching gift to irc sec. 501 (c) (3) organization
American Council of The Blind Inc.,2015,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY","$85,000",Charitable program activities support
American Council of The Blind Inc.,2015,Aid Association For The Blind Of The District Of Columbia,"Washington, DC","Aid Association For The Blind Of The District Of Columbia   Washington, DC","$25,000",Mission programs
American Council of The Blind Inc.,2015,Joseph L Vozza Family Foundation Inc.,"Ponte Vedra, FL","Joseph L Vozza Family Foundation Inc.   Ponte Vedra, FL",$200,Visually-impaired support
American Council of The Blind Inc.,2014,National Industries For The Blind,"Alexandria, VA","National Industries For The Blind   Alexandria, VA","$6,054",Membership dues
American Council of The Blind Inc.,2014,Inglesea Charitable Tr,"Norwalk, CT","Inglesea Charitable Tr   Norwalk, CT",$100,Charitable
American Council of The Blind Inc.,2014,National Christian Charitable Foundation,"Alpharetta, GA","National Christian Charitable Foundation   Alpharetta, GA",$100,Human services
American Council of The Blind Inc.,2013,Perkins School For The Blind,"Watertown, MA","Perkins School For The Blind   Watertown, MA","$5,000","Advocacy, parent training & support"
American Council of The Blind Inc.,2012,Maurice And Henry L Freund Charitable Foundation,"Chicago, IL","Maurice And Henry L Freund Charitable Foundation   Chicago, IL",$36,To further charitable goals
