grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
Foundation Fighting Blindness Inc.,2013,Half Moon Foundation,"New Canaan, CT","Half Moon Foundation   New Canaan, CT",$500,Charitable
Foundation Fighting Blindness Inc.,2013,Robert & Christine Emmons Foundation,"Santa Barbara, CA","Robert & Christine Emmons Foundation   Santa Barbara, CA",$500,Eye disease research
Foundation Fighting Blindness Inc.,2013,Richard And Mary L Gray Foundation,"Chicago, IL","Richard And Mary L Gray Foundation   Chicago, IL",$500,General unrestricted
Foundation Fighting Blindness Inc.,2013,Ira A Eichner & Barbara R Eichner Foundation,"Highland Park, IL","Ira A Eichner & Barbara R Eichner Foundation   Highland Park, IL",$500,Contribution
Foundation Fighting Blindness Inc.,2013,Laughrey Family Foundation Inc.,"Carmel, IN","Laughrey Family Foundation Inc.   Carmel, IN",$500,"General use contribution, no stipulations"
Foundation Fighting Blindness Inc.,2013,The Mel & Ruth Wolzinger Foundation,"Las Vegas, NV","The Mel & Ruth Wolzinger Foundation   Las Vegas, NV",$500,General support
Foundation Fighting Blindness Inc.,2013,Paturick Foundation Inc,"Fairfax Station, VA","Paturick Foundation Inc   Fairfax Station, VA",$500,Charitable
Foundation Fighting Blindness Inc.,2013,Prudential Foundation Inc.,"Newark, NJ","Prudential Foundation Inc.   Newark, NJ",$500,Direct matching gifts paid in current year - matching gift to health & human services agency
Foundation Fighting Blindness Inc.,2013,Prudential Foundation Inc.,"Newark, NJ","Prudential Foundation Inc.   Newark, NJ",$455,2012 payroll matching gifts paid in 2013 - matching gift to health & human services agency
Foundation Fighting Blindness Inc.,2013,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$405,Program/operating support
Foundation Fighting Blindness Inc.,2013,Prudential Foundation Inc.,"Newark, NJ","Prudential Foundation Inc.   Newark, NJ",$400,2012 payroll matching gifts paid in 2013 - matching gift to health & human services agency
Foundation Fighting Blindness Inc.,2013,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$375,Program/operating support
Foundation Fighting Blindness Inc.,2013,Richard And Jaci Lindstrom Foundation,"Wayzata, MN","Richard And Jaci Lindstrom Foundation   Wayzata, MN",$366,Program support
Foundation Fighting Blindness Inc.,2013,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$350,Program/operating support
Foundation Fighting Blindness Inc.,2013,Geico Philanthropic Foundation,"Chevy Chase, MD","Geico Philanthropic Foundation   Chevy Chase, MD",$300,General purpose
Foundation Fighting Blindness Inc.,2013,Robert D Stearnes Memorial Foundation,"Chicago, IL","Robert D Stearnes Memorial Foundation   Chicago, IL",$300,Human svc
Foundation Fighting Blindness Inc.,2013,Gates Foundation,"Seattle, WA","Gates Foundation   Seattle, WA",$300,Employee matching gift - for general operating support
Foundation Fighting Blindness Inc.,2013,Press Family Foundation,"Plymouth, MA","Press Family Foundation   Plymouth, MA",$250,General donation for funding research to fight diseases that cause blindness.
Foundation Fighting Blindness Inc.,2013,Allen And Libby Weingarten Foundation,"Rcho Santa Fe, CA","Allen And Libby Weingarten Foundation   Rcho Santa Fe, CA",$250,To support other irc 501 c (3) charitable organization
Foundation Fighting Blindness Inc.,2013,Charles And Frances Kempler Foundation,"Elk Grove Vlg, IL","Charles And Frances Kempler Foundation   Elk Grove Vlg, IL",$250,General support
Foundation Fighting Blindness Inc.,2013,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$250,Program/operating support
Foundation Fighting Blindness Inc.,2013,Joy And David Grossmann Family,"Boca Raton, FL","Joy And David Grossmann Family   Boca Raton, FL",$250,General charitable
Foundation Fighting Blindness Inc.,2013,Nathan Casselman Foundation Inc.,"Dallas, TX","Nathan Casselman Foundation Inc.   Dallas, TX",$250,For research to provide treatment cure of retinal diseases
Foundation Fighting Blindness Inc.,2013,James D Scheinfeld Family Foundation,"Wilmington, DE","James D Scheinfeld Family Foundation   Wilmington, DE",$250,General purpose.
Foundation Fighting Blindness Inc.,2013,Linch Family Foundation,"Weston, FL","Linch Family Foundation   Weston, FL",$250,To promote the welfare of the charitable org.
Foundation Fighting Blindness Inc.,2013,Gupta Foundation,"Springfield, VA","Gupta Foundation   Springfield, VA",$200,Research for curing blindness
Foundation Fighting Blindness Inc.,2013,Gupta Foundation,"Springfield, VA","Gupta Foundation   Springfield, VA",$200,Research for curing blindness
Foundation Fighting Blindness Inc.,2013,Mentor Graphics Foundation,"Wilsonville, OR","Mentor Graphics Foundation   Wilsonville, OR",$200,"To support research to prevent, treat, and cure those affected by the entire spectrum of retinal degenerative diseases"
Foundation Fighting Blindness Inc.,2013,Gupta Foundation,"Springfield, VA","Gupta Foundation   Springfield, VA",$200,Research for curing blindness
Foundation Fighting Blindness Inc.,2013,Intuit Foundation,"Mountain View, CA","Intuit Foundation   Mountain View, CA",$150,Matching gift to health & human services agency
Foundation Fighting Blindness Inc.,2013,Mentor Graphics Foundation,"Wilsonville, OR","Mentor Graphics Foundation   Wilsonville, OR",$150,"To support research to prevent, treat, and cure those affected by the entire spectrum of retinal degenerative diseases"
Foundation Fighting Blindness Inc.,2013,Prudential Foundation Inc.,"Newark, NJ","Prudential Foundation Inc.   Newark, NJ",$150,Direct matching gifts paid in current year - matching gift to health & human services agency
Foundation Fighting Blindness Inc.,2013,Geico Philanthropic Foundation,"Chevy Chase, MD","Geico Philanthropic Foundation   Chevy Chase, MD",$125,General purpose
Foundation Fighting Blindness Inc.,2013,Hca Healthcare Foundation,"Nashville, TN","Hca Healthcare Foundation   Nashville, TN",$105,Matching gift
Foundation Fighting Blindness Inc.,2013,The Greater New Orleans Foundation,"New Orleans, LA","The Greater New Orleans Foundation   New Orleans, LA",$100,Health
Foundation Fighting Blindness Inc.,2013,Louis G Piancone Charitable Foundation Inc.,"Palm Beach, FL","Louis G Piancone Charitable Foundation Inc.   Palm Beach, FL",$100,Medical research
Foundation Fighting Blindness Inc.,2013,Handelsman Family Foundation,"Glencoe, IL","Handelsman Family Foundation   Glencoe, IL",$100,General fund
Foundation Fighting Blindness Inc.,2013,Shell Usa Company Foundation,"Houston, TX","Shell Usa Company Foundation   Houston, TX",$100,Community development
Foundation Fighting Blindness Inc.,2013,Baldwin Family Foundation,"West Hartford, CT","Baldwin Family Foundation   West Hartford, CT",$100,Current use for general charitable purposes
Foundation Fighting Blindness Inc.,2013,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$50,Program/operating support
Foundation Fighting Blindness Inc.,2013,Davidson Foundation For Music Dance And Dramatic Arts,"Los Angeles, CA","Davidson Foundation For Music Dance And Dramatic Arts   Los Angeles, CA",$50,Assistance
Foundation Fighting Blindness Inc.,2013,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$25,Program/operating support
Foundation Fighting Blindness Inc.,2013,David R Trattner Foundation Co Joyce Leanse,"Santa Monica, CA","David R Trattner Foundation Co Joyce Leanse   Santa Monica, CA",$25,Fund research
Foundation Fighting Blindness Inc.,2013,Kinnaman Foundation,"Fort Morgan, CO","Kinnaman Foundation   Fort Morgan, CO",$20,Charity
Foundation Fighting Blindness Inc.,2012,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$5,977,400",To help further charitable purposes of organization
Foundation Fighting Blindness Inc.,2012,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$2,110,008",To help further charitable purposes of organization
Foundation Fighting Blindness Inc.,2012,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$528,310",To help further charitable purposes of organization
Foundation Fighting Blindness Inc.,2012,Charities Aid Foundation America,"Alexandria, VA","Charities Aid Foundation America   Alexandria, VA","$361,050",General support
Foundation Fighting Blindness Inc.,2012,The San Diego Foundation,"San Diego, CA","The San Diego Foundation   San Diego, CA","$208,000",Human services
Foundation Fighting Blindness Inc.,2012,Manning Family Foundation,"Charlottesvle, VA","Manning Family Foundation   Charlottesvle, VA","$140,000",General
Foundation Fighting Blindness Inc.,2012,Jewish Communal Fund,"New York, NY","Jewish Communal Fund   New York, NY","$134,710",Unrestricted
Foundation Fighting Blindness Inc.,2012,The Greater New Orleans Foundation,"New Orleans, LA","The Greater New Orleans Foundation   New Orleans, LA","$100,000",General support
Foundation Fighting Blindness Inc.,2012,Teammates For Kids Foundation,"Denver, CO","Teammates For Kids Foundation   Denver, CO","$100,000",Health
Foundation Fighting Blindness Inc.,2012,Medical Research Charities Inc.,"Salem, MA","Medical Research Charities Inc.   Salem, MA","$62,121",To assist in the organization's exempt purposes.
Foundation Fighting Blindness Inc.,2012,Mendelow Family Foundation Inc.,"New York, NY","Mendelow Family Foundation Inc.   New York, NY","$46,183",Medical research
Foundation Fighting Blindness Inc.,2012,Greater Washington Community Foundation,"Washington, DC","Greater Washington Community Foundation   Washington, DC","$36,000",General support building
Foundation Fighting Blindness Inc.,2012,Weisman Family Foundation,"Lantana, FL","Weisman Family Foundation   Lantana, FL","$30,000",To help support charitable organizations
Foundation Fighting Blindness Inc.,2012,Motorsports Charities Inc.,"Daytona Beach, FL","Motorsports Charities Inc.   Daytona Beach, FL","$25,000",Health research & program support
Foundation Fighting Blindness Inc.,2012,Jewish Federation Of Metropolitan Chicago,"Chicago, IL","Jewish Federation Of Metropolitan Chicago   Chicago, IL","$16,240",Operating support
Foundation Fighting Blindness Inc.,2012,Catalyst Foundation,"Salt Lake Cty, UT","Catalyst Foundation   Salt Lake Cty, UT","$10,000",Retinal disease medical research
Foundation Fighting Blindness Inc.,2012,Grand Rapids Community Foundation,"Grand Rapids, MI","Grand Rapids Community Foundation   Grand Rapids, MI","$10,000",Donor advised fund
Foundation Fighting Blindness Inc.,2012,United Way Miami Inc.,"Miami, FL","United Way Miami Inc.   Miami, FL","$10,000",General support
Foundation Fighting Blindness Inc.,2012,Sacramento Consolidated Charities,"Sacramento, CA","Sacramento Consolidated Charities   Sacramento, CA","$10,000",Community service
Foundation Fighting Blindness Inc.,2012,United Jewish Community Of Broward County Inc.,"Davie, FL","United Jewish Community Of Broward County Inc.   Davie, FL","$10,000",Grants to social welfare and educational institutions whose activities are consistent with the goals and purposes of the federation.
Foundation Fighting Blindness Inc.,2012,Mabel H Flory Charitable Trust,"Orlando, FL","Mabel H Flory Charitable Trust   Orlando, FL","$10,000",Research
Foundation Fighting Blindness Inc.,2012,United Way Miami Inc.,"Miami, FL","United Way Miami Inc.   Miami, FL","$10,000",General support
Foundation Fighting Blindness Inc.,2012,Grand Rapids Community Foundation,"Grand Rapids, MI","Grand Rapids Community Foundation   Grand Rapids, MI","$10,000",Donor advised fund
Foundation Fighting Blindness Inc.,2012,Catalyst Foundation,"Salt Lake Cty, UT","Catalyst Foundation   Salt Lake Cty, UT","$10,000",Retinal disease medical research
Foundation Fighting Blindness Inc.,2012,United Way Of King County,"Seattle, WA","United Way Of King County   Seattle, WA","$7,970",Designated gifts
Foundation Fighting Blindness Inc.,2012,Greater Cincinnati Foundation,"Cincinnati, OH","Greater Cincinnati Foundation   Cincinnati, OH","$7,650",General purpose
Foundation Fighting Blindness Inc.,2012,Posel Foundation,"Philadelphia, PA","Posel Foundation   Philadelphia, PA","$7,500","Drive research to provide preventions, treatments, and cures for entire spectrum of retinal degenerative disease"
Foundation Fighting Blindness Inc.,2012,Scholarship Foundation Of The Nsa Inc.,"Flushing, NY","Scholarship Foundation Of The Nsa Inc.   Flushing, NY","$7,000",Charitable
Foundation Fighting Blindness Inc.,2012,The Us Charitable Gift Trust,"Boston, MA","The Us Charitable Gift Trust   Boston, MA","$6,000",Health/medical
Foundation Fighting Blindness Inc.,2012,Charlottesville Area Community Foundation,"Charlottesvle, VA","Charlottesville Area Community Foundation   Charlottesvle, VA","$6,000",General purposes
Foundation Fighting Blindness Inc.,2012,Cleveland Clinic Foundation,"Independence, OH","Cleveland Clinic Foundation   Independence, OH","$5,000",Community support
Foundation Fighting Blindness Inc.,2012,Community Foundation Of Greater Greensboro Inc.,"Greensboro, NC","Community Foundation Of Greater Greensboro Inc.   Greensboro, NC","$5,000",General support
Foundation Fighting Blindness Inc.,2012,The Mesa West Foundation,"Los Angeles, CA","The Mesa West Foundation   Los Angeles, CA","$5,000",General
Foundation Fighting Blindness Inc.,2012,Millie Luing Foundation Inc.,"Woodland Park, NJ","Millie Luing Foundation Inc.   Woodland Park, NJ","$5,000",Unrestricted use
Foundation Fighting Blindness Inc.,2012,The Cleveland Clinic Foundation,"Cleveland, OH","The Cleveland Clinic Foundation   Cleveland, OH","$5,000",Community support
Foundation Fighting Blindness Inc.,2012,Stonier Scholarship Inc.,"Towson, MD","Stonier Scholarship Inc.   Towson, MD","$5,000",General support to further the organizations exempt purpose.
Foundation Fighting Blindness Inc.,2012,The Mesa West Foundation,"Los Angeles, CA","The Mesa West Foundation   Los Angeles, CA","$5,000",General
Foundation Fighting Blindness Inc.,2012,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$3,700",To help further charitable purposes of organization.
Foundation Fighting Blindness Inc.,2012,Jwj Family Foundation,"Jackson, WY","Jwj Family Foundation   Jackson, WY","$3,000",Research for treating blindness
Foundation Fighting Blindness Inc.,2012,Gordon Hartman Foundation,"San Antonio, TX","Gordon Hartman Foundation   San Antonio, TX","$2,500",Unrestricted
Foundation Fighting Blindness Inc.,2012,Daniel And Karen Lee Family Foundation,"Glencoe, IL","Daniel And Karen Lee Family Foundation   Glencoe, IL","$2,500",Support of recipients' charitable activities
Foundation Fighting Blindness Inc.,2012,The Greater New Orleans Foundation,"New Orleans, LA","The Greater New Orleans Foundation   New Orleans, LA","$2,000",General support
Foundation Fighting Blindness Inc.,2012,Kyle Todd Public Service Foundation Inc.,"Washington, DC","Kyle Todd Public Service Foundation Inc.   Washington, DC","$2,000",Charitable
Foundation Fighting Blindness Inc.,2012,Ruth Harbison Carr Fam Foundation Tr,"Morganton, NC","Ruth Harbison Carr Fam Foundation Tr   Morganton, NC","$2,000",General fund
Foundation Fighting Blindness Inc.,2012,Richard C Hirsch Foundation Inc. C/O Welbilt Corp,"New York, NY","Richard C Hirsch Foundation Inc. C/O Welbilt Corp   New York, NY","$1,500",For the charitable purpose of donee
Foundation Fighting Blindness Inc.,2012,Midwest Vision Research Foundation,"Chesterfield, MO","Midwest Vision Research Foundation   Chesterfield, MO","$1,035",General support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC","$1,000",Program and operating support
Foundation Fighting Blindness Inc.,2012,J W G Foundation Inc.,"North Caldwell, NJ","J W G Foundation Inc.   North Caldwell, NJ","$1,000",Charitable
Foundation Fighting Blindness Inc.,2012,Sun Capital Partners Foundation Inc.,"Boca Raton, FL","Sun Capital Partners Foundation Inc.   Boca Raton, FL","$1,000","Research that will provide preventions, treatments, and cures"
Foundation Fighting Blindness Inc.,2012,Berley Family Foundation Inc.,"New York, NY","Berley Family Foundation Inc.   New York, NY","$1,000",General
Foundation Fighting Blindness Inc.,2012,Sun Capital Partners Foundation Inc.,"Boca Raton, FL","Sun Capital Partners Foundation Inc.   Boca Raton, FL","$1,000","Research that will provide preventions, treatments, and cures"
Foundation Fighting Blindness Inc.,2012,Orr Family Foundation Inc.,"Atlanta, GA","Orr Family Foundation Inc.   Atlanta, GA","$1,000",Charitable
Foundation Fighting Blindness Inc.,2012,Jd Foundation,"Nashua, NH","Jd Foundation   Nashua, NH","$1,000",General purposes
Foundation Fighting Blindness Inc.,2012,Heestand Foundation Inc.,"Chicago, IL","Heestand Foundation Inc.   Chicago, IL","$1,000",For annual fund (unrestricted)
Foundation Fighting Blindness Inc.,2012,Berley Family Foundation Inc.,"New York, NY","Berley Family Foundation Inc.   New York, NY","$1,000",General
Foundation Fighting Blindness Inc.,2012,Heestand Foundation Inc.,"Chicago, IL","Heestand Foundation Inc.   Chicago, IL","$1,000",For annual fund (unrestricted)
Foundation Fighting Blindness Inc.,2012,J W G Foundation Inc.,"North Caldwell, NJ","J W G Foundation Inc.   North Caldwell, NJ","$1,000",Charitable
Foundation Fighting Blindness Inc.,2012,U M R Foundation Inc.,"Sarasota, FL","U M R Foundation Inc.   Sarasota, FL","$1,000",See above
Foundation Fighting Blindness Inc.,2012,Jd Foundation,"Nashua, NH","Jd Foundation   Nashua, NH","$1,000",General purposes
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC","$1,000",Program and operating support
Foundation Fighting Blindness Inc.,2012,U M R Foundation Inc.,"Sarasota, FL","U M R Foundation Inc.   Sarasota, FL","$1,000",See above
Foundation Fighting Blindness Inc.,2012,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$1,000",To help further charitable purposes of organization.
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$900,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$900,Program and operating support
Foundation Fighting Blindness Inc.,2012,Charles And Frances Kempler Foundation,"Elk Grove Vlg, IL","Charles And Frances Kempler Foundation   Elk Grove Vlg, IL",$750,General support
Foundation Fighting Blindness Inc.,2012,Rick And Katie Moore Foundation,"Coronado, CA","Rick And Katie Moore Foundation   Coronado, CA",$600,Charitable
Foundation Fighting Blindness Inc.,2012,Gates Foundation,"Seattle, WA","Gates Foundation   Seattle, WA",$525,Employee matching gift - for general operating support
Foundation Fighting Blindness Inc.,2012,Laughrey Family Foundation Inc.,"Carmel, IN","Laughrey Family Foundation Inc.   Carmel, IN",$500,"General use contribution, no stipulations"
Foundation Fighting Blindness Inc.,2012,The Greater New Orleans Foundation,"New Orleans, LA","The Greater New Orleans Foundation   New Orleans, LA",$500,General support
Foundation Fighting Blindness Inc.,2012,Lawrence And Sandra Post Family Foundation,"Thousand Oaks, CA","Lawrence And Sandra Post Family Foundation   Thousand Oaks, CA",$500,Eye disease research
Foundation Fighting Blindness Inc.,2012,Weill Fam Foundation,"Glen Head, NY","Weill Fam Foundation   Glen Head, NY",$500,Retinitis pigmentosa research
Foundation Fighting Blindness Inc.,2012,James R And Lesley B Anixter Family Foundation,"Highland Park, IL","James R And Lesley B Anixter Family Foundation   Highland Park, IL",$500,To further the mission of the donee
Foundation Fighting Blindness Inc.,2012,The Louis And Clara Kennedy Family Foundation,"Beverly Hills, CA","The Louis And Clara Kennedy Family Foundation   Beverly Hills, CA",$500,Public support of organization mission
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$450,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$450,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$425,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$425,Program and operating support
Foundation Fighting Blindness Inc.,2012,National Christian Charitable Foundation,"Alpharetta, GA","National Christian Charitable Foundation   Alpharetta, GA",$300,Medical and health
Foundation Fighting Blindness Inc.,2012,Erdle Foundation,"Delray Beach, FL","Erdle Foundation   Delray Beach, FL",$300,Research retina disease
Foundation Fighting Blindness Inc.,2012,Jmt Charitable Foundation,"New York, NY","Jmt Charitable Foundation   New York, NY",$250,General purpose
Foundation Fighting Blindness Inc.,2012,Bentley Foundation,"West Chester, PA","Bentley Foundation   West Chester, PA",$250,General use
Foundation Fighting Blindness Inc.,2012,Joy And David Grossmann Family,"Boca Raton, FL","Joy And David Grossmann Family   Boca Raton, FL",$250,Misc charitable purposes
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$250,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$250,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$200,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$200,Program and operating support
Foundation Fighting Blindness Inc.,2012,Mentor Graphics Foundation,"Wilsonville, OR","Mentor Graphics Foundation   Wilsonville, OR",$200,"To support research to prevent, treat, and cure those affected by the entire spectrum of retinal degenerative diseases"
Foundation Fighting Blindness Inc.,2012,The Jeanne And Herbert Hansell Fund,"Philadelphia, PA","The Jeanne And Herbert Hansell Fund   Philadelphia, PA",$200,Public charity
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$200,Program and operating support
Foundation Fighting Blindness Inc.,2012,Collins Family Foundation,"Skillman, NJ","Collins Family Foundation   Skillman, NJ",$200,Research
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$200,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$170,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$170,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$150,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$150,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$150,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$150,Program and operating support
Foundation Fighting Blindness Inc.,2012,The Cady Family Foundation,"St Louis, MO","The Cady Family Foundation   St Louis, MO",$125,Research
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$125,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$125,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$100,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$100,Program and operating support
Foundation Fighting Blindness Inc.,2012,Mentor Graphics Foundation,"Wilsonville, OR","Mentor Graphics Foundation   Wilsonville, OR",$100,"To support research to prevent, treat, and cure those affected by the entire spectrum of retinal degenerative diseases"
Foundation Fighting Blindness Inc.,2012,Baldwin Family Foundation,"West Hartford, CT","Baldwin Family Foundation   West Hartford, CT",$100,Current use for general charitable purposes
Foundation Fighting Blindness Inc.,2012,The Bea And David Zack Memorial Foundation Inc.,"Baltimore, MD","The Bea And David Zack Memorial Foundation Inc.   Baltimore, MD",$100,General
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$100,Program and operating support
Foundation Fighting Blindness Inc.,2012,The Weaver Family Foundation,"Santa Monica, CA","The Weaver Family Foundation   Santa Monica, CA",$100,General
Foundation Fighting Blindness Inc.,2012,Square D Foundation,"Palatine, IL","Square D Foundation   Palatine, IL",$100,Matching gift to health & human services agency
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$100,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$100,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$100,Program and operating support
Foundation Fighting Blindness Inc.,2012,Marilyn & Mike Grossman Foundation,"Cambridge, MA","Marilyn & Mike Grossman Foundation   Cambridge, MA",$100,General support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$75,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$75,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$75,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$75,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$50,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$50,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$50,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$50,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$25,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$25,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$25,Program and operating support
Foundation Fighting Blindness Inc.,2012,Bank Of America Charitable Foundation Inc.,"Charlotte, NC","Bank Of America Charitable Foundation Inc.   Charlotte, NC",$25,Program and operating support
Foundation Fighting Blindness Inc.,2011,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$3,250,000",To help further charitable purposes of organization.
